domain,pitfall_code,severity,element_uri,note
music,P04,Minor,http://www.example.org/ontology/music#Cl_Entity,
music,P05,Critical,http://www.example.org/ontology/music#trackOfAlbum,may not be inverse of #hasTrack
music,P05,Critical,http://www.example.org/ontology/music#hasMember,may not be inverse of #memberOf
music,P05,Critical,http://www.example.org/ontology/music#performs,may not be inverse of #performedBy
music,P05,Critical,http://www.example.org/ontology/music#hasTrack,may not be inverse of #trackOf
music,P05,Critical,http://www.example.org/ontology/music#performanceOfBand,may not be inverse of #hasPerformance
music,P08,Minor,http://www.example.org/ontology/music#Cl_Entity,no rdfs:label or rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_CriticRecordStatement,no rdfs:label or rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_Statement,no rdfs:label or rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_CompositionEvent,no rdfs:label or rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_Song,no rdfs:label or rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasCritic,no rdfs:label or rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasRecord,no rdfs:label or rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#statementText,no rdfs:label or rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_Location,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_Track,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_Band,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_Role,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_Person,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_Record,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_TimeInterval,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_Membership,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_AlbumRecording,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_Critic,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_Musician,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_BandMembership,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_SongInPerformance,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_Instrument,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_Event,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_Album,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#Cl_Artist,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#memberOfMembership,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasRole,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#performedAt,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#performedIn,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#composesSong,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#memberOf,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#trackOf,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#membershipOfBand,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#trackOfAlbum,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#recordedDuring,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#performedTrack,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasMembership,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasAlbum,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasMember,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#recordedAlbum,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#performs,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasTimeInterval,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#reviewedBy,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#isTrackOf,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasSong,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasBand,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasLocation,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#performedBy,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasTrack,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#playsInstrument,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasPerformance,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#performedSong,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasRecordingEvent,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasCompositionEvent,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#containsSong,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#performanceOfBand,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#performanceDate,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#role,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#recordingEndDate,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasCompositionDate,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#recordingStartDate,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#trackCompositionDate,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#membershipStartDate,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#membershipEndDate,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#trackReleaseDate,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#albumReleaseDate,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#composedDate,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#instrumentName,no rdfs:comment
music,P08,Minor,http://www.example.org/ontology/music#hasName,no rdfs:comment
