direction,class_label,formula,taxonomic_overlap,exact_hit,source_uris,target_uris
generated_to_reference,Agent,TO_double_prime,0.5,False,http://www.example.org/ontology/hospital#Cl_Agent,
generated_to_reference,Article,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_Article,
generated_to_reference,Article Collection,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_ArticleCollection,
generated_to_reference,Article Presentation,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_ArticlePresentation,
generated_to_reference,Book,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_Book,
generated_to_reference,CD,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_CD,
generated_to_reference,Certified Nurse Degree,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_CertifiedNurseDegree,
generated_to_reference,City,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_City,
generated_to_reference,Country,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_Country,
generated_to_reference,Doctor,TO_prime,0.25,True,http://www.example.org/ontology/hospital#Cl_Doctor,http://www.owl-ontologies.com/Hospital.rdf#Doctor
generated_to_reference,Employee,TO_double_prime,0.75,False,http://www.example.org/ontology/hospital#Cl_Employee,
generated_to_reference,Employment Event,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_EmploymentEvent,
generated_to_reference,Evaluation,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_Evaluation,
generated_to_reference,Evaluation Statement,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_EvaluationStatement,
generated_to_reference,Event,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_Event,
generated_to_reference,Hospital,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_Hospital,
generated_to_reference,Institution,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_Institution,
generated_to_reference,Library,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_Library,
generated_to_reference,Location,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_Location,
generated_to_reference,Medical Degree,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_MedicalDegree,
