direction,kind,source_label,best_target_label,string_matching,exact_hit
generated_to_reference,property,awarded by,hasOrderDate,0.2,False
generated_to_reference,property,city name,patientAge,0.2222222222222222,False
generated_to_reference,property,contains article,wingHasDepartment,0.25,False
generated_to_reference,property,country name,givenPillName,0.25,False
generated_to_reference,property,date of the seminar occurrence,worksIn,0.0,False
generated_to_reference,property,degree date,hasOrderDate,0.36363636363636365,False
generated_to_reference,property,degree of,worksIn,0.0,False
generated_to_reference,property,employed at,hasOrderDate,0.18181818181818182,False
generated_to_reference,property,employment start date,currentPatientState,0.2631578947368421,False
generated_to_reference,property,evaluates,roomHasBeds,0.1111111111111111,False
generated_to_reference,property,has article,hasTotalBill,0.36363636363636365,False
generated_to_reference,property,has city,hasSpeciality,0.25,False
generated_to_reference,property,has date,hasOrderDate,0.375,False
generated_to_reference,property,has degree,hasOrderDate,0.4,False
generated_to_reference,property,has degree (reified),hasAffiliatedPatient,0.25,False
generated_to_reference,property,has employee,hasTotalCost,0.3333333333333333,False
generated_to_reference,property,has employer,hasTotalCost,0.3333333333333333,False
generated_to_reference,property,has evaluatee (employee),hasAffiliatedDepartment,0.34782608695652173,False
generated_to_reference,property,has evaluation date,hasRelantionshipType,0.3684210526315789,False
generated_to_reference,property,has evaluation statement,hasAffiliatedDepartment,0.43478260869565216,False
generated_to_reference,property,has evaluator (doctor),hasAffiliateDoctor,0.3888888888888889,False
generated_to_reference,property,has member,hasOrderDate,0.2,False
generated_to_reference,property,has member (person),hasPrescription,0.26666666666666666,False
generated_to_reference,property,has membership,hasPrescription,0.2857142857142857,False
generated_to_reference,property,has name,patientAge,0.125,False
generated_to_reference,property,has occurrence,hasMedicalCase,0.2857142857142857,False
generated_to_reference,property,has page count,hasPaymentAmount,0.42857142857142855,False
generated_to_reference,property,has presentation,hasPrescription,0.6,False
generated_to_reference,property,has publication date,hasAffiliatedDepart,0.3684210526315789,False
generated_to_reference,property,has role,hasOrderDate,0.125,False
generated_to_reference,property,has start date,hasUpdateDate,0.5384615384615384,False
generated_to_reference,property,has union,hasAccountID,0.2222222222222222,False
generated_to_reference,property,has union (organization),hasAffiliatedDepartment,0.21739130434782608,False
generated_to_reference,property,has union membership,hasAffiliatedDepart,0.2631578947368421,False
generated_to_reference,property,has version,hasPrescription,0.36363636363636365,False
generated_to_reference,property,held at,headOfDept,0.14285714285714285,False
generated_to_reference,property,held at hospital,hasHistoryUpdates,0.1875,False
generated_to_reference,property,held by,worksIn,0.0,False
generated_to_reference,property,holds degree association,hasAffiliatedPatient,0.1,False
generated_to_reference,property,is employee of,isInvolvedIn,0.16666666666666666,False
generated_to_reference,property,is employer of,isInvolvedIn,0.16666666666666666,False
