comparison,term,ontology_count,source_text_count,in_both
hospital_final_vs_hospital_story,after,0,1,False
hospital_final_vs_hospital_story,agent,1,0,False
hospital_final_vs_hospital_story,all,0,1,False
hospital_final_vs_hospital_story,article,10,7,True
hospital_final_vs_hospital_story,assistant,1,1,True
hospital_final_vs_hospital_story,association,2,0,False
hospital_final_vs_hospital_story,available,0,1,False
hospital_final_vs_hospital_story,awarded,1,0,False
hospital_final_vs_hospital_story,become,0,2,False
hospital_final_vs_hospital_story,book,2,4,True
hospital_final_vs_hospital_story,both,0,2,False
hospital_final_vs_hospital_story,can,0,1,False
hospital_final_vs_hospital_story,cancer,0,2,False
hospital_final_vs_hospital_story,care,0,3,False
hospital_final_vs_hospital_story,certified,1,1,True
hospital_final_vs_hospital_story,city,5,1,True
hospital_final_vs_hospital_story,collection,3,4,True
hospital_final_vs_hospital_story,constantly,0,1,False
hospital_final_vs_hospital_story,contain,1,1,True
hospital_final_vs_hospital_story,continue,0,1,False
hospital_final_vs_hospital_story,count,3,0,False
hospital_final_vs_hospital_story,country,3,0,False
hospital_final_vs_hospital_story,date,10,0,False
hospital_final_vs_hospital_story,december,0,1,False
hospital_final_vs_hospital_story,decided,0,1,False
hospital_final_vs_hospital_story,degree,9,1,True
hospital_final_vs_hospital_story,delle,0,3,False
hospital_final_vs_hospital_story,direction,0,1,False
hospital_final_vs_hospital_story,discussing,0,1,False
hospital_final_vs_hospital_story,doctor,3,2,True
hospital_final_vs_hospital_story,electronically,0,1,False
hospital_final_vs_hospital_story,employed,1,1,True
hospital_final_vs_hospital_story,employee,4,1,True
hospital_final_vs_hospital_story,employer,2,0,False
hospital_final_vs_hospital_story,employment,2,0,False
hospital_final_vs_hospital_story,end,1,0,False
hospital_final_vs_hospital_story,entitled,0,2,False
hospital_final_vs_hospital_story,evaluate,1,1,True
hospital_final_vs_hospital_story,evaluatee,1,0,False
hospital_final_vs_hospital_story,evaluation,4,0,False
hospital_final_vs_hospital_story,evaluator,1,0,False
hospital_final_vs_hospital_story,event,2,0,False
hospital_final_vs_hospital_story,experience,0,1,False
hospital_final_vs_hospital_story,first,0,1,False
hospital_final_vs_hospital_story,found,0,1,False
