direction,diagnostic,value,details
generated_to_reference,source_class_lexical_entries,34,
generated_to_reference,source_property_lexical_entries,66,
generated_to_reference,exact_class_lexical_hits,3,Doctor|Nurse|Person
generated_to_reference,exact_property_lexical_hits,0,
generated_to_reference,class_lexical_entries_missing_in_target,31,Agent|Article|Article Collection|Article Presentation|Book|CD|Certified Nurse Degree|City|Country|Employee|Employment Event|Evaluation|Evaluation Statement|Event|Hospital|Institution|Library|Location|Medical Degree|Nursing Assistant Degree|Organization|Person‑Degree Association|Publication|Role|Seminar|Seminar Occurrence|Union|Union Group|Union Membership|Union Membership (temporal)|Union Representative
generated_to_reference,property_lexical_entries_missing_in_target,66,awarded by|city name|contains article|country name|date of the seminar occurrence|degree date|degree of|employed at|employment start date|evaluates|has article|has city|has date|has degree|has degree (reified)|has employee|has employer|has evaluatee (employee)|has evaluation date|has evaluation statement|has evaluator (doctor)|has member|has member (person)|has membership|has name|has occurrence|has page count|has presentation|has publication date|has role|has start date|has union|has union (organization)|has union membership|has version|held at|held at hospital|held by|holds degree association|is employee of|is employer of|is located in country|is part of article collection|is presented in|isMemberOf|isRoleOf|isUnionOf|located in city|member of union|membership end date|membership of person|membership of union|membership start date|occurrence at location|occurrence of seminar|page count|presentation venue|presented article|presented at seminar|presented by|presented presentation|publication year|represents union|seminar date|stored in library|title
generated_to_reference,source_properties_missing_domain,2,http://www.example.org/ontology/hospital#hasName|http://www.example.org/ontology/hospital#hasTitle
generated_to_reference,source_properties_missing_range,0,
generated_to_reference,source_properties_domain_not_class,0,
generated_to_reference,source_properties_range_not_class,19,http://www.example.org/ontology/hospital#degreeDate|http://www.example.org/ontology/hospital#dp_cityName|http://www.example.org/ontology/hospital#dp_countryName|http://www.example.org/ontology/hospital#dp_hasDate|http://www.example.org/ontology/hospital#dp_pageCount|http://www.example.org/ontology/hospital#hasEvaluationDate|http://www.example.org/ontology/hospital#hasName|http://www.example.org/ontology/hospital#hasPageCount|http://www.example.org/ontology/hospital#hasPublicationDate|http://www.example.org/ontology/hospital#hasStartDate|http://www.example.org/ontology/hospital#hasStatement|http://www.example.org/ontology/hospital#hasTitle|http://www.example.org/ontology/hospital#membershipEndDate|http://www.example.org/ontology/hospital#membershipStartDate|http://www.example.org/ontology/hospital#occurrenceDate|http://www.example.org/ontology/hospital#pageCount|http://www.example.org/ontology/hospital#publicationYear|http://www.example.org/ontology/hospital#seminarDate|http://www.example.org/ontology/hospital#startDate
