card_id,card_title,A. Reference-based evaluation,B. Corpus/data-based evaluation,C. Task/application-based evaluation,D. Criteria-based evaluation,Set aside,Unsorted
M01,Input format check,0,2,1,7,0,0
M02,Basic ontology statistics,0,2,0,7,1,0
M03,Formal construct profile check,1,0,0,9,0,0
M04,Allowed formal construct check,1,3,0,6,0,0
M05,Relation and attribute density check,1,1,0,8,0,0
M06,Hierarchy depth and branching check,1,1,0,7,1,0
M07,Hierarchy imbalance check,1,0,0,8,1,0
M08,Quality-model aggregation,1,0,0,8,1,0
M09,Name regularity check,1,1,0,8,0,0
M10,Description coverage check,0,2,0,7,1,0
M11,Circular hierarchy path check,0,1,0,9,0,0
M12,Contradiction and unusable-class check,0,1,0,9,0,0
M13,Asserted and inferred hierarchy comparison,5,1,1,2,1,0
M14,Expected entailment check,2,1,3,4,0,0
M15,Evaluator-defined condition checks,1,0,3,6,0,0
M16,Graph constraint conformance check,1,0,0,9,0,0
M17,Known design error catalogue check,2,0,1,7,0,0
M18,Logical error pattern check,0,0,1,9,0,0
M19,Reusable modelling-template check,7,1,1,1,0,0
M20,Lexical error pattern check,0,3,0,7,0,0
M21,Multi-measure similarity to other ontology,10,0,0,0,0,0
M22,Expected parent-child link comparison,10,0,0,0,0,0
M23,Expected mapping evaluation,9,0,0,0,1,0
M24,Graph edit distance from comparison source,10,0,0,0,0,0
M25,Embedding-based similarity to comparison ontology,9,0,0,0,1,0
M26,Mapping-based reference comparison,10,0,0,0,0,0
M27,Expected domain term coverage,6,4,0,0,0,0
M28,Source-text term coverage,0,9,0,1,0,0
M29,Reuse of established shared terms,6,4,0,0,0,0
M30,External reference resolvability check,2,0,2,4,2,0
M31,Vocabulary-profile similarity to source text,0,10,0,0,0,0
M32,Expected question answerability check,2,0,8,0,0,0
M33,Ontology unit test suite,1,0,3,5,1,0
M34,Requirement-based test generation,2,0,4,3,1,0
M35,Publication and identifier readiness check,0,1,0,7,2,0
M36,Source and change-history check,1,2,1,4,2,0
M37,Scope coverage and out-of-scope term check,2,3,3,2,0,0
M38,Unused schema element check,1,1,0,8,0,0
M39,Constraint axiom coverage check,1,1,0,8,0,0
M40,Term-focused module extraction,0,7,2,0,1,0
