comparison,term,ontology_count,source_text_count,in_both
music_final_vs_music_story,addition,0,1,False
music_final_vs_music_story,album,9,3,True
music_final_vs_music_story,also,0,1,False
music_final_vs_music_story,ambitiou,0,1,False
music_final_vs_music_story,anthony,0,1,False
music_final_vs_music_story,arcadium,0,2,False
music_final_vs_music_story,artist,2,0,False
music_final_vs_music_story,august,0,1,False
music_final_vs_music_story,band,10,4,True
music_final_vs_music_story,bass,0,1,False
music_final_vs_music_story,briefly,0,1,False
music_final_vs_music_story,bump,0,1,False
music_final_vs_music_story,career,0,1,False
music_final_vs_music_story,chad,0,2,False
music_final_vs_music_story,changed,0,1,False
music_final_vs_music_story,chili,0,3,False
music_final_vs_music_story,city,2,0,False
music_final_vs_music_story,compos,1,0,False
music_final_vs_music_story,composed,0,1,False
music_final_vs_music_story,composition,6,0,False
music_final_vs_music_story,concert,1,0,False
music_final_vs_music_story,configuration,0,1,False
music_final_vs_music_story,contain,1,1,True
music_final_vs_music_story,contributed,0,1,False
music_final_vs_music_story,country,1,0,False
music_final_vs_music_story,crian,0,1,False
music_final_vs_music_story,critic,3,1,True
music_final_vs_music_story,date,15,0,False
music_final_vs_music_story,defined,0,1,False
music_final_vs_music_story,drum,0,1,False
music_final_vs_music_story,during,1,1,True
music_final_vs_music_story,end,3,0,False
music_final_vs_music_story,entity,1,0,False
music_final_vs_music_story,event,6,0,False
music_final_vs_music_story,featuring,0,1,False
music_final_vs_music_story,few,0,1,False
music_final_vs_music_story,flea,0,1,False
music_final_vs_music_story,found,0,1,False
music_final_vs_music_story,frusciante,0,3,False
music_final_vs_music_story,function,2,0,False
music_final_vs_music_story,gave,0,1,False
music_final_vs_music_story,group,2,0,False
music_final_vs_music_story,guitar,0,2,False
music_final_vs_music_story,hiatt,0,1,False
music_final_vs_music_story,hillel,0,1,False
music_final_vs_music_story,hot,0,3,False
music_final_vs_music_story,hump,0,1,False
music_final_vs_music_story,include,0,1,False
music_final_vs_music_story,individual,1,0,False
music_final_vs_music_story,instrument,3,0,False
music_final_vs_music_story,interval,2,0,False
music_final_vs_music_story,iron,0,1,False
music_final_vs_music_story,jack,0,1,False
music_final_vs_music_story,january,0,1,False
music_final_vs_music_story,john,0,1,False
music_final_vs_music_story,keyboard,0,1,False
music_final_vs_music_story,kiedi,0,1,False
music_final_vs_music_story,left,0,1,False
music_final_vs_music_story,line,0,1,False
music_final_vs_music_story,live,2,1,True
music_final_vs_music_story,located,1,0,False
music_final_vs_music_story,location,3,0,False
music_final_vs_music_story,mar,0,1,False
music_final_vs_music_story,may,0,1,False
music_final_vs_music_story,member,6,0,False
music_final_vs_music_story,membership,7,0,False
music_final_vs_music_story,most,0,1,False
music_final_vs_music_story,music,1,1,True
music_final_vs_music_story,musical,3,0,False
music_final_vs_music_story,musician,3,0,False
music_final_vs_music_story,name,2,0,False
music_final_vs_music_story,optional,1,0,False
music_final_vs_music_story,oregon,0,1,False
music_final_vs_music_story,peligo,0,1,False
music_final_vs_music_story,pepper,0,3,False
music_final_vs_music_story,perform,1,0,False
music_final_vs_music_story,performance,12,1,True
music_final_vs_music_story,performed,6,0,False
music_final_vs_music_story,person,5,0,False
music_final_vs_music_story,play,1,0,False
music_final_vs_music_story,playing,0,1,False
music_final_vs_music_story,portland,0,1,False
music_final_vs_music_story,production,0,1,False
music_final_vs_music_story,record,3,0,False
music_final_vs_music_story,recorded,2,0,False
music_final_vs_music_story,recording,5,1,True
music_final_vs_music_story,red,0,3,False
music_final_vs_music_story,region,1,0,False
music_final_vs_music_story,reified,1,0,False
music_final_vs_music_story,release,4,0,False
music_final_vs_music_story,released,0,1,False
music_final_vs_music_story,replaced,0,2,False
music_final_vs_music_story,reviewed,1,0,False
music_final_vs_music_story,role,4,0,False
music_final_vs_music_story,september,0,1,False
music_final_vs_music_story,session,1,0,False
music_final_vs_music_story,slovak,0,1,False
music_final_vs_music_story,smith,0,2,False
music_final_vs_music_story,some,0,1,False
music_final_vs_music_story,song,10,2,True
music_final_vs_music_story,stadium,0,2,False
music_final_vs_music_story,start,3,0,False
music_final_vs_music_story,started,0,1,False
music_final_vs_music_story,state,2,0,False
music_final_vs_music_story,statement,3,0,False
music_final_vs_music_story,text,1,0,False
music_final_vs_music_story,three,0,1,False
music_final_vs_music_story,time,3,2,True
music_final_vs_music_story,track,12,2,True
music_final_vs_music_story,trumpet,0,1,False
music_final_vs_music_story,twenty,0,1,False
music_final_vs_music_story,until,0,1,False
music_final_vs_music_story,vocal,0,2,False
music_final_vs_music_story,vocalist,0,1,False
music_final_vs_music_story,volta,0,1,False
music_final_vs_music_story,work,0,1,False
music_final_vs_music_story,year,0,1,False
